K1,b,map
2.6,0.7,0.2866
2.6,0.8,0.2863
2.6,0.9,0.2793
2.6,1.0,0.2670
2.7,0.0,0.1237
2.7,0.1,0.2239
2.7,0.2,0.2500
2.7,0.3,0.2613
2.7,0.4,0.2684
2.7,0.5,0.2739
2.7,0.6,0.2802
2.7,0.7,0.2832
2.7,0.8,0.2841
2.7,0.9,0.2772
2.7,1.0,0.2643
2.8,0.0,0.1226
2.8,0.1,0.2226
2.8,0.2,0.2475
2.8,0.3,0.2596
2.8,0.4,0.2663
2.8,0.5,0.2719
2.8,0.6,0.2779
2.8,0.7,0.2812
2.8,0.8,0.2815
2.8,0.9,0.2757
2.8,1.0,0.2623
2.9,0.0,0.1213
2.9,0.1,0.2207
2.9,0.2,0.2452
2.9,0.3,0.2580
2.9,0.4,0.2643
2.9,0.5,0.2698
2.9,0.6,0.2755
2.9,0.7,0.2792
2.9,0.8,0.2794
2.9,0.9,0.2718
2.9,1.0,0.2602
3.0,0.0,0.1205
3.0,0.1,0.2197
3.0,0.2,0.2436
3.0,0.3,0.2564
3.0,0.4,0.2621
3.0,0.5,0.2681
3.0,0.6,0.2738
3.0,0.7,0.2769
3.0,0.8,0.2771
3.0,0.9,0.2700
3.0,1.0,0.2578
